1  Falsafa tushunchasining ma’nosi?
A  #Yunoncha phileo – sevaman, sophia – donolik so‘zlaridan kelib chiqqan bo‘lib, donolikka muhabbat ma’nosini
B  Texnologiya va san’at
C  Siyosiy va ijtimoiy masalalar
D  Axloq va qadriyatlar
2  Falsafaning ontologiya  bo’limida qanday masalalar o‘rganiladi?
A  #Borliq va mavjudlik mohiyatini 
B  Yer osti boyliklarini aniqlash
C  Kimyoviy moddalarni
D  Shaxsiy tajribalarni
3  Falsafa va dinning umumiy maqsadi nima?
A  #Olam va insonning mohiyatini anglash 
B  Olamning kosmologik modelini yaratish
C  Mehnat haqida nazariyalar yaratish
D  Tajribaga asoslanish
4  Falsafiy bilimlarning muhim tarkibiy qismlaridan biri ……?
A  #Gnoseologiya 
B  Fizika
C  Kimyo
D  Shaxsiy e’tiqodlar
5  Falsafaning madaniy funksiyasi nimani anglatadi?
A  #Insoniyatning umumiy madaniy taraqqiyotiga xizmat qilish 
B  Diniy qadriyatlarni mustahkamlash
C  Ilmiy qonunlarni tushuntirish
D  Jamiyatni axloqiy tarbiyalash
6  Falsafaning ijtimoiy sohaga ta’siri qanday namoyon bo‘ladi?
A  #Jamiyatni boshqarishdagi qarashlarni shakllantirish orqali 
B  Faqat axloqiy qadriyatlarni o‘rgatishda
C  Faqat tabiiy hodisalarni tushuntirishda
D  Ilmiy haqiqatlarni targ‘ib qilishda
7  Falsafiy dunyoqarashning eng muhim vazifasi nima?
A  #Insonning o‘zini va borliqni anglashiga yordam berish 
B  Ilmiy ma’lumotlarni to‘plash
C  Jamiyatni axloqiy tarbiyalash
D  Diniy qoidalarni kuchaytirish
8  Jamiyat qanday tizim sifatida qaraladi?
A  #Rivojlanuvchi va o‘zgaruvchan tizim
B  Biologik birlik
C  Faqat iqtisodiy tizim
D  Statik ijtimoiy guruh
9  Jamiyat qaysi fan sohalarida o’rganiladi?
A  #Falsafa, tarix, sotsiologiya
B  Faqat iqtisodiyot va sotsiologiya
C  Texnologiya va axborot texnologiyalari
D  Biologiya va kimyo
10  Forobiyning fikriga ko‘ra, to‘liqsiz jamiyat bu?
A  #Oila, mahalla 
B  Dunyo
C  Davlat
D  Tarix
11  Tarixiy rivojlanish jarayonida sub’yektiv omillar qanday rol o‘ynaydi?
A  #Jamiyatning rivojlanishiga muhim ta’sir ko‘rsatadi
B  Tasodifiy hodisalarni boshqaradi
C  Faqat iqtisodiy jarayonlarni shakllantiradi
D  Umuman ahamiyatsizdir
12  Jamiyatni rivojlantiruvchi asosiy omillar qaysilar?
A  #Ijtimoiy o‘zgarishlar va madaniy taraqqiyot
